Number,Name,WS,BPM,VORP,DARKO,CPM,Salary
2,Nikola Jokic,16.4,13.3,9.8,6.5,8.7,"$51,415,938"
1,Shai Gilgeous-Alexander,16.7,11.5,8.9,6.4,8.2,"$35,859,950"
5,Giannis Antetokounmpo,11.5,9.5,6.6,6.3,6.9,"$48,787,676"
194,Zion Williamson,2.5,7,1.9,1.7,2.6,"$36,725,670"
49,Luka Doncic,5.9,6.7,3.9,5.3,6.3,"$43,031,940"
122,Victor Wembanyama,3.8,6.5,3.3,5,6.2,"$12,768,960"
24,Stephen Curry,7.9,6.3,4.8,3.8,4,"$55,761,216"
6,Tyrese Haliburton,10.4,5.8,4.9,2.6,4.4,"$42,176,400"
26,LeBron James,7.7,5.6,4.7,3.7,3.7,"$48,728,845"
38,Anthony Davis,6.7,5.4,3.2,3.4,5,"$43,219,440"
10,Jayson Tatum,9.5,5.2,4.8,5.4,5.1,"$34,848,340"
9,Domantas Sabonis,10.1,5.2,4.4,1.3,2.5,"$40,500,000"
336,Matisse Thybulle,0.9,5,0.6,0.4,1.8,"$11,025,000"
14,Jimmy Butler,8.7,4.9,3,2.7,3.1,"$48,798,677"
65,Kristaps Porzingis,5.3,4.7,2.1,2.4,4.3,"$29,268,293"
13,Evan Mobley,9,4.6,3.6,3.3,4,"$11,227,657"
20,Alperen Sengun,8.3,4.4,3.9,1.1,2.7,"$5,424,654"
17,Anthony Edwards,8.4,4.3,4.6,3.7,3.9,"$42,176,400"
18,James Harden,8.3,4.3,4.4,3.9,3.9,"$33,653,846"
48,Ty Jerome,5.9,4.3,2.2,2,2,"$2,560,975"
148,Jaylin Williams,3.3,4.3,1.2,-0.2,1.7,"$2,019,699"
4,Jarrett Allen,11.6,4.2,3.6,2.8,3.6,"$20,000,000"
23,Amen Thompson,8,4.1,3.4,1.8,3.3,"$9,249,960"
121,Alex Caruso,3.9,4,1.6,2.1,4,"$9,890,000"
28,Damian Lillard,7.6,4,3.2,2.3,3.1,"$48,787,676"
25,Jalen Williams,7.8,4,3.4,2.5,2.9,"$4,775,760"
225,Moritz Wagner,2,4,0.9,0.3,0.7,"$11,000,000"
51,Cade Cunningham,5.9,3.9,3.7,1.3,1.6,"$13,940,809"
50,Daniel Gafford,5.9,3.8,1.8,0.5,1.7,"$13,394,160"
27,Donovan Mitchell,7.6,3.7,3.2,5,4.9,"$35,410,310"
80,Tari Eason,5,3.6,2,2.1,2.9,"$3,695,160"
8,Karl-Anthony Towns,10.1,3.6,3.5,2.5,2.7,"$49,205,800"
279,Joel Embiid,1.4,3.5,0.8,3.4,4.5,"$51,415,938"
16,Derrick White,8.5,3.5,3.6,1.8,3.5,"$20,071,429"
15,Payton Pritchard,8.6,3.5,3.2,1.5,2.3,"$6,696,429"
135,Paolo Banchero,3.5,3.5,2.2,0.4,1,"$12,160,800"
87,Mark Williams,4.7,3.5,1.6,-0.2,0.5,"$4,094,280"
201,Jay Huff,2.5,3.5,1.1,-0.3,0.3,"$2,088,033"
91,Kyrie Irving,4.6,3.4,2.5,3,3.1,"$41,000,000"
146,Dereck Lively II,3.4,3.3,1.1,1.5,2.9,"$5,014,560"
19,Jalen Brunson,8.3,3.3,3.1,3.3,2.8,"$24,960,001"
36,Luke Kornet,7,3.3,1.8,1.5,2.7,"$2,087,519"
285,Mitchell Robinson,1.3,3.3,0.4,2,2.2,"$14,318,182"
37,Isaiah Hartenstein,6.8,3.2,2.1,2.4,3.2,"$30,000,000"
70,Kevin Durant,5.2,3.2,3,2.3,2.5,"$51,179,021"
41,Desmond Bane,6.5,3.2,2.9,1.7,1.8,"$34,005,250"
226,LaMelo Ball,2,3.2,2,0.8,1.2,"$35,147,000"
81,Santi Aldama,5,3.2,2.2,0.4,0.8,"$3,960,531"
139,Kawhi Leonard,3.5,3.1,1.5,4.2,4.6,"$49,205,800"
3,Ivica Zubac,11.7,3.1,3.4,2.9,3.8,"$11,743,210"
59,Franz Wagner,5.6,3.1,2.6,1.9,3,"$7,007,092"
21,Darius Garland,8.1,3.1,3,2.6,2.5,"$36,725,670"
12,Jalen Duren,9.2,3.1,2.7,0.6,1.2,"$4,536,840"
32,Tyler Herro,7.4,3.1,3.5,1.2,1.2,"$29,000,000"
79,Cameron Johnson,5.1,3.1,2.3,0.4,1.1,"$22,500,000"
284,Robert Williams,1.3,3,0.4,1.6,1.4,"$12,428,571"
66,Josh Giddey,5.3,3,2.7,0.3,0.4,"$8,352,367"
263,Paul Reed,1.6,2.9,0.5,1.2,2.1,"$3,913,234"
11,Josh Hart,9.2,2.8,3.6,1,1.8,"$18,144,000"
388,Bones Hyland,0.5,2.7,0.3,-0.5,-0.6,"$4,158,439"
33,Nikola Vucevic,7.3,2.6,2.7,-2.1,-0.2,"$20,000,000"
52,Goga Bitadze,5.8,2.5,1.6,1.3,2.2,"$9,057,971"
159,Chet Holmgren,3.2,2.4,1,3.4,3.8,"$10,880,640"
141,Ja Morant,3.5,2.4,1.7,2.6,2.7,"$36,725,670"
134,Scottie Barnes,3.5,2.4,2.3,0.8,1.4,"$10,130,980"
43,Jaren Jackson Jr.,6.4,2.3,2.4,2.8,3.2,"$25,257,798"
189,Chris Boucher,2.7,2.3,0.9,1.8,1.4,"$10,810,000"
